id,ss_id,produce_id,ProduceWeight,PercentageReceived,ContainerType,ChildSurvey
35058762-8b506f27,524-35058463-c75be0a3,prod1003,2,1,1,0
39437889-67f522ed,524-39437613-bc3ff6f7,prod1003,2,1,1,0
35956593-14d0aa88,525-35956274-e580763c,prod1003,2,1,1,0
39369739-ac0b45b8,525-39369667-96cad557,prod1003,2,1,1,0
44473818-27f8f8bd,526-44473601-6873d4a0,prod1003,2,1,1,0
35871480-1a1d9556,528-35871328-f26b5281,prod1003,2,1,1,0
44564656-1d22dfa7,528-44564388-ab2f56f2,prod1003,2,1,1,0
43967235-79866645,533-43967087-529553cb,prod1003,2,1,1,0
50183279-64947175,538-50181917-ff5e9e75,prod1003,2,1,1,0
50193251-363c9830,539-50193165-6cb8229a,prod1003,2,1,1,0
50288773-3194c01f,543-50288731-7c169319,prod1003,2,1,1,0
44474449-a7197cc8,577-44474248-24992823,prod1003,2,1,1,0
43773808-27a8d5a2,578-43773742-6e2c605f,prod1003,2,1,1,0
34339407-58b0f8b2,580-34339342-d64aec21,prod1003,2,1,1,0
35018250-2c137179,581-35018134-afffe07b,prod1003,2,1,1,0
39436738-1f6e96ae,581-39436681-5bba7fa9,prod1003,2,1,1,0
47279510-5d3eec10,581-47279363-c1f35d6c,prod1003,2,1,1,0
